id;active;year;gender;want_spam;balance;undo_count
600;t;2013;M;t;26600;0
601;t;2009;U;t;50;0
602;f;2003;M;t;-2950;0
603;f;1989;M;t;0;0
604;f;1991;M;t;0;0
605;f;1997;M;t;0;0
606;f;2012;M;t;50;0
607;f;1999;M;t;250;0
608;t;1984;M;t;18800;0
609;f;2003;U;t;0;0
610;t;1992;M;t;675;0
611;f;2002;M;t;25;0
612;f;2002;M;t;-6000;0
613;t;2016;M;t;6500;0
614;f;2007;U;t;0;0
615;t;2002;M;t;460;0
616;t;2009;M;t;0;0
617;f;1995;M;t;0;0
618;f;1983;M;t;0;0
619;f;1983;M;t;0;0
620;f;1996;M;t;0;0
621;f;2006;M;t;0;0
622;t;2016;M;t;5000;0
623;f;1984;M;t;0;0
624;t;2013;M;t;25150;0
625;f;1988;M;t;0;0
626;f;1992;M;t;0;0
627;f;1976;U;t;0;0
628;t;2014;M;t;9950;0
629;t;2013;M;t;0;0
630;f;1985;M;t;0;0
631;t;1995;U;t;8525;0
632;f;2004;M;t;-1250;0
633;t;2013;M;t;300;0
634;f;1984;U;t;0;0
635;f;1985;M;t;0;0
636;f;1991;M;t;0;0
637;t;2015;M;t;0;0
638;f;2012;M;t;0;0
639;f;1991;M;t;0;0
640;f;1984;M;t;0;0
641;t;2012;M;t;300;0
642;f;1991;M;t;0;0
643;f;2003;M;t;0;0
644;f;1996;M;t;20000;0
645;t;2013;M;t;6750;0
646;f;1991;M;t;0;0
647;f;1986;M;t;0;0
648;f;2007;M;t;50;0
649;f;2004;M;t;4425;0
650;t;2013;M;t;1050;0
651;t;2014;M;t;200;0
652;f;1982;M;t;0;0
653;f;2011;M;t;0;0
654;f;1993;M;t;0;0
655;f;1988;M;t;0;0
656;f;2012;M;t;4250;0
657;t;2016;M;t;12150;0
658;f;1977;M;t;0;0
659;t;2009;M;t;0;0
660;f;2009;M;t;-3000;0
661;f;2004;M;t;13525;0
662;f;1998;M;t;175;0
663;t;2014;M;t;22350;0
664;f;1993;M;t;0;0
665;f;1988;M;t;0;0
666;t;2011;M;t;9900;0
667;f;2012;M;t;250;0
668;f;1991;U;t;0;0
669;t;2011;M;t;0;0
670;f;0;M;t;-1775;0
671;f;2010;M;t;0;0
672;t;2011;M;t;16900;0
673;t;2014;M;t;9100;0
674;f;2003;U;t;5100;0
675;f;2001;M;t;-700;0
676;t;2013;M;t;250;0
677;t;2006;M;t;25;0
678;t;2016;M;t;350;0
679;f;1977;M;t;0;0
680;t;2015;M;t;900;0
681;f;2003;M;t;1700;0
682;f;1993;M;t;0;0
683;t;2016;F;t;4500;0
684;f;1993;F;t;0;0
685;f;1989;M;t;0;0
686;f;1997;M;t;125;0
687;f;2003;M;t;-5150;0
688;t;2015;F;t;100;0
689;f;2012;M;t;5000;0
690;f;2015;M;t;100;0
691;f;1999;U;t;575;0
692;f;1992;M;t;0;0
693;f;1990;M;t;0;0
694;f;2012;M;t;0;0
695;t;2014;M;t;29700;0
696;t;2011;M;t;150;0
697;f;1984;M;t;0;0
698;f;2003;M;t;0;0
699;f;1980;M;t;0;0
700;f;1996;M;t;0;0
701;f;2012;M;t;3250;0
702;f;1987;M;t;0;0
703;t;2014;M;t;6450;0
704;f;2001;M;t;0;0
705;f;2004;M;t;175;0
706;t;2013;F;t;7850;0
707;f;2014;M;t;450;0
708;f;1994;M;t;0;0
709;t;1987;U;t;0;0
710;f;1985;U;t;0;0
711;t;2003;F;t;0;0
712;f;2004;M;t;-600;0
713;f;2006;M;t;2250;0
714;f;0;M;t;0;0
715;f;1983;U;t;0;0
716;t;2001;U;t;1325;0
717;f;1997;M;t;475;0
718;f;1999;M;t;-2575;0
719;f;2002;U;t;0;0
720;f;1995;M;t;-1475;0
721;f;2002;M;t;-4075;0
722;f;1992;M;t;0;0
723;t;2015;M;t;0;0
724;t;2016;M;t;50;0
725;f;2003;M;t;1225;0
726;f;2002;M;t;-175;0
727;f;1994;M;t;0;0
728;f;2006;M;t;0;0
729;f;2005;U;t;500;0
730;t;2013;M;t;50;0
731;f;2005;M;t;9725;0
732;f;1987;M;t;0;0
733;t;2015;M;t;450;0
734;f;1990;M;t;0;0
735;t;2015;M;t;700;0
736;f;2004;M;t;4650;0
737;f;1998;M;t;-12600;0
738;f;1999;M;t;400;0
739;f;1986;M;t;0;0
740;t;2013;M;t;350;0
741;f;1996;M;t;0;0
742;f;2002;M;t;3450;0
743;f;2004;M;t;325;0
744;f;2007;M;t;700;0
745;f;2003;M;t;0;0
746;f;2001;M;t;-8900;0
747;t;2014;M;t;0;0
748;f;2002;M;t;-2125;0
749;f;2004;M;t;100;0
750;t;2010;M;t;5900;0
751;f;2003;M;t;4000;0
752;f;2012;M;t;950;0
753;t;2013;M;t;400;0
754;f;2005;M;t;100;0
755;f;2009;U;t;0;0
756;f;1995;U;t;8525;0
757;f;2003;U;t;1075;0
758;f;2002;M;t;250;0
759;f;1999;M;t;-32425;0
760;f;1998;U;t;750;0
761;f;1987;M;t;0;0
762;f;1981;M;t;-9100;0
763;f;2003;M;t;-1150;0
764;f;2012;M;t;250;0
765;f;2001;M;t;-2450;0
766;t;2015;M;t;450;0
767;f;1999;M;t;-6800;0
768;t;2008;M;t;8700;0
769;f;2003;M;t;0;0
770;f;1993;M;t;0;0
771;f;1992;U;t;0;0
772;f;2009;M;t;300;0
773;t;2003;M;t;0;0
774;f;2011;U;t;600;0
775;t;2015;M;t;50;0
776;t;2015;M;t;50;0
777;t;2012;M;t;0;0
778;t;2012;M;t;0;0
779;f;1981;M;t;0;0
780;f;2001;F;t;50;0
781;f;2008;M;t;3300;0
782;f;1995;M;t;0;0
783;f;2007;M;t;500;0
784;f;1994;M;t;700;0
785;f;2010;M;t;1400;0
786;f;2001;M;t;2625;0
787;f;2006;M;t;12700;0
788;f;1999;M;t;525;0
789;f;2010;U;t;50;0
790;f;2009;U;f;50;0
791;f;2010;M;t;100;0
792;f;2009;M;t;0;0
793;f;2006;M;t;725;0
794;f;1988;M;t;0;0
795;t;2006;U;t;17900;0
796;t;2015;M;t;550;0
797;f;1982;M;t;0;0
798;f;0;U;t;0;0
799;f;1998;U;t;0;0
800;f;2004;F;t;0;0
801;f;1995;M;t;0;0
802;f;1985;U;t;0;0
803;f;2004;M;t;0;0
804;t;2013;M;t;11450;0
805;t;2014;M;t;400;0
806;t;2015;M;t;12150;0
807;f;2004;U;t;0;0
808;f;1986;M;t;0;0
809;f;1995;M;t;-100;0
810;f;2004;U;t;0;0
811;f;2004;M;t;-5025;0
812;f;2002;U;t;-1275;0
813;t;2008;F;t;14600;0
814;f;1993;M;t;-10700;0
815;t;2009;M;t;0;0
816;t;2015;F;t;0;0
817;f;1977;M;t;0;0
818;f;2005;U;t;-4025;0
819;f;2002;M;t;-2700;0
820;f;2008;M;t;900;0
821;f;2003;U;t;0;0
822;t;2006;M;t;0;0
823;f;1988;M;t;0;0
824;t;2011;U;t;100;0
825;f;2010;M;t;100;0
826;f;2006;M;t;-700;0
827;f;1994;M;t;0;0
828;t;2009;M;t;150;0
829;t;2014;M;t;150;0
830;f;1996;M;t;18900;0
831;t;2013;M;t;1050;0
832;f;2003;M;t;4000;0
833;f;2006;M;t;50;0
834;f;2000;M;t;-2950;0
835;f;2003;M;t;0;0
836;t;2012;M;t;0;0
837;f;2007;U;t;550;0
838;f;2002;F;t;-1200;0
839;t;2011;U;t;0;0
840;f;2004;M;t;175;0
841;f;2012;M;t;150;0
842;f;1991;M;t;0;0
843;f;1992;M;t;0;0
844;f;2003;M;t;-20000;0
845;f;1984;M;t;0;0
846;f;1994;M;t;0;0
847;t;2013;M;t;600;0
848;t;2016;M;t;2500;0
849;f;1996;M;t;300;0
850;f;1994;F;t;0;0
851;f;1989;M;t;0;0
852;f;1999;M;t;1025;0
853;t;2016;F;t;16100;0
854;f;2003;U;t;0;0
855;f;1998;U;t;-10575;0
856;t;2015;M;t;950;0
857;f;2006;M;t;700;0
858;f;2006;U;t;0;0
859;f;1995;M;t;0;0
860;t;2011;M;t;20400;0
861;f;1999;M;t;-3775;0
862;f;1998;M;t;0;0
863;t;2013;M;t;550;0
864;f;1984;M;t;0;0
865;f;1994;M;t;0;0
866;f;1993;M;t;0;0
867;f;1995;M;t;600;0
868;t;2009;M;t;200;0
